Iteration,M2,D2,V2,B,G,Pmech2,Loss,Time,Gradient Norm
0,12.60991192,10.50978851,2.077711344,-0.611224115,-0.00256982,0.509887338,0.001526754,0.129776001,0.097644448
0,12.61847305,10.51806259,2.069260836,-0.610368788,-0.001712877,0.509030282,0.000675119,0.207495213,0.161596268
0,12.62501717,10.52457619,2.062034607,-0.609623611,-0.000986768,0.508304596,0.000248309,0.281159163,0.197881699
0,12.62991524,10.53028488,2.055775166,-0.60897094,-0.000371894,0.507691026,5.96E-05,0.355289936,0.210813731
0,12.63364697,10.53570366,2.050239801,-0.608390808,-1.00E-05,0.507178009,3.27E-05,0.429095984,0.20433116
0,12.64352608,10.54449081,2.044373274,-0.607748508,-1.00E-05,0.506732106,0.000102627,0.502590895,0.197424933
0,12.6507349,10.55151081,2.039159536,-0.607188344,-1.00E-05,0.506354868,7.34E-05,0.57625103,0.179432571
0,12.6566,10.55766678,2.034431219,-0.606686294,-1.00E-05,0.506036699,8.28E-05,0.666167974,0.158848912
0,12.66164112,10.56306076,2.030097008,-0.606230259,-1.00E-05,0.505773365,9.22E-05,0.771616936,0.13557598
0,12.66613388,10.56795025,2.026073217,-0.605809629,-1.00E-05,0.505561113,9.77E-05,0.855518818,0.111262858
0,12.67021656,10.57250881,2.022302151,-0.605417311,-1.00E-05,0.505398035,0.00010216,0.929479122,0.086223848
0,12.6635685,10.58088493,2.018458605,-0.60501188,-1.00E-05,0.505325258,0.000464112,1.003462076,0.038401615
0,12.65801716,10.58737278,2.014847994,-0.60463357,-1.00E-05,0.505301356,0.000105757,1.077394962,0.01255857
0,12.65313339,10.59287167,2.011436939,-0.604278147,-1.00E-05,0.50532788,0.000108651,1.153777122,0.013854276
0,12.6487484,10.5977354,2.008198738,-0.603942335,-4.58E-05,0.505404949,0.000106421,1.228995085,0.040179487
0,12.64482117,10.60214996,2.005110025,-0.603623211,-0.000123747,0.505527914,8.88E-05,1.301687956,0.064286314
0,12.64084148,10.60648727,2.002093315,-0.603311062,-0.000219534,0.505670846,5.24E-05,1.373650074,0.075133756
0,12.6359396,10.61147881,1.999304295,-0.603025615,-0.000331556,0.505828023,7.67E-05,1.446199894,0.083227597
0,12.63152027,10.61597157,1.996607184,-0.602749527,-0.000471181,0.506013751,4.18E-05,1.518157005,0.099576153
0,12.62749863,10.62009811,1.993987799,-0.602481306,-0.000626967,0.506215096,1.68E-05,1.590255022,0.109680593
1,12.62740612,10.62010098,1.993988872,-0.602480769,-0.000643617,0.506233096,1.69E-05,6.350324869,0.009770552
1,12.62731075,10.6201067,1.993976831,-0.602478087,-0.00067172,0.506263733,8.52E-06,6.423144817,0.016519185
1,12.62721252,10.62011528,1.993949413,-0.602473021,-0.000709909,0.506305516,7.02E-06,6.496198177,0.022440093
1,12.62710667,10.62012386,1.993906856,-0.602465689,-0.00075685,0.506357014,5.59E-06,6.569514036,0.02755424
1,12.6267252,10.62012672,1.993952632,-0.602468967,-0.000812537,0.506416976,1.05E-05,6.641412973,0.032007817
1,12.62633705,10.62013245,1.99396956,-0.602468491,-0.000870778,0.506480157,2.70E-06,6.713099957,0.033620223
1,12.62500668,10.62025547,1.993835807,-0.602449894,-0.000915528,0.506530643,6.43E-05,6.783922911,0.026765103
1,12.62363815,10.62038708,1.993672252,-0.602427602,-0.000960014,0.506581426,3.62E-06,6.855962992,0.026829233
1,12.62227631,10.62051964,1.993460894,-0.602399766,-0.000997628,0.506625473,4.38E-06,6.930660963,0.023176599
1,12.61698627,10.62181282,1.993671417,-0.602422595,-0.001068609,0.506705821,0.0001895,7.002753973,0.042191572
1,12.61229134,10.62310028,1.993824601,-0.602439106,-0.001127528,0.506774008,9.23E-06,7.075132847,0.035701968
1,12.6080246,10.62438393,1.993917942,-0.602449238,-0.001171222,0.506826699,1.28E-05,7.147418976,0.027480543
1,12.60408401,10.6256628,1.99394834,-0.602452874,-0.001197217,0.506861269,1.61E-05,7.219293833,0.017959066
1,12.60035896,10.62692356,1.993846774,-0.602442026,-0.001197279,0.506869256,3.62E-05,7.292602062,0.004135337
1,12.59671593,10.62820435,1.993608236,-0.602416515,-0.001165794,0.506844401,5.23E-05,7.377793074,0.012786001
1,12.59327793,10.62948132,1.99329865,-0.602383494,-0.001115778,0.506800592,1.68E-05,7.450627089,0.022437798
1,12.59001255,10.63075352,1.99292469,-0.602343619,-0.001050278,0.506741047,1.23E-05,7.523870945,0.030411333
1,12.5868206,10.63208866,1.992475033,-0.602294862,-0.000976086,0.506673455,1.52E-05,7.596997976,0.034427017
1,12.58324146,10.63384056,1.992109418,-0.602255881,-0.000914168,0.50661999,4.57E-05,7.668261051,0.027133383
1,12.57985592,10.63557529,1.991703629,-0.602212131,-0.00084802,0.506562531,2.51E-06,7.740199089,0.029048933
2,12.57980251,10.63561535,1.991677523,-0.602208614,-0.000852304,0.506567836,6.77E-06,7.812092066,0.00265931
2,12.57974911,10.63565636,1.991619945,-0.602201223,-0.000856171,0.506573141,1.74E-06,7.885244131,0.002667586
2,12.57965946,10.63572311,1.991533756,-0.602190018,-0.000863023,0.50658232,5.01E-06,7.958501101,0.004575632
2,12.57956886,10.63579082,1.991414666,-0.602174759,-0.000868958,0.506591022,1.79E-06,8.031588078,0.004319295
2,12.57947731,10.63586044,1.991261721,-0.602155387,-0.000873492,0.506598771,1.78E-06,8.104859114,0.003811944
2,12.57934284,10.63594246,1.991097331,-0.602134347,-0.000882095,0.506611347,4.54E-06,8.176825047,0.006163841
2,12.57920742,10.63602543,1.990897894,-0.602109015,-0.000888615,0.506622195,1.84E-06,8.248905897,0.00530377
2,12.57907104,10.63611126,1.990655184,-0.602078557,-0.000890152,0.506628275,2.61E-06,8.320506096,0.00294654
2,12.57893562,10.63619709,1.990377188,-0.602043927,-0.00088775,0.506630599,1.75E-06,8.392686129,0.001123818
2,12.57874012,10.63633537,1.990077972,-0.602007329,-0.000874059,0.506620944,7.88E-06,8.466773033,0.004636702
2,12.57848167,10.63650799,1.989763021,-0.601968527,-0.000864911,0.506616771,6.27E-06,8.539108992,0.001986606
2,12.57694149,10.63710117,1.989713311,-0.601960897,-0.000890231,0.506649435,0.000120826,8.611067057,0.015567418
2,12.57541084,10.63769627,1.989628911,-0.601949096,-0.000912884,0.506679773,1.73E-06,8.682837009,0.01439103
2,12.57379818,10.63833141,1.989476085,-0.601929724,-0.000919215,0.506693125,1.73E-05,8.754205942,0.006301886
2,12.57219791,10.63896847,1.989284635,-0.601905823,-0.000920893,0.506702065,2.22E-06,8.826490164,0.004196719
2,12.57060623,10.63960934,1.989049911,-0.601876795,-0.00091805,0.506706834,2.71E-06,8.898502111,0.002216069
2,12.56902599,10.64025307,1.988777161,-0.601843297,-0.000910635,0.506707251,2.10E-06,8.970988989,0.000191029
2,12.56745148,10.6408987,1.9884758,-0.601806343,-0.000901002,0.506705821,1.76E-06,9.042896032,0.000662462
2,12.56578159,10.6416378,1.988174319,-0.601770282,-0.000876279,0.506688118,1.29E-05,9.114853144,0.008154904
2,12.56307983,10.64299679,1.988133311,-0.601764977,-0.000882248,0.506703913,0.0001007,9.18674612,0.00722718
3,12.56298733,10.6430378,1.988141537,-0.601765573,-0.000889344,0.50671196,8.56E-06,9.25932312,0.003670467
3,12.56289387,10.6430788,1.988117218,-0.601762295,-0.000893435,0.506717265,1.46E-06,9.331346035,0.002409472
3,12.5627985,10.6431179,1.988068461,-0.601756096,-0.000895318,0.506720603,1.11E-06,9.404556036,0.001515073
3,12.56270123,10.64315891,1.987975359,-0.601744771,-0.000891036,0.506717861,2.69E-06,9.477283001,0.001220375
3,12.56259441,10.64320278,1.987825632,-0.60172677,-0.000879573,0.506708086,4.20E-06,9.548850775,0.00436205
3,12.56019402,10.64452934,1.988036633,-0.601757228,-0.000808315,0.506627977,0.000263087,9.621119976,0.035727229
3,12.55784798,10.64585114,1.988224864,-0.601784766,-0.00073911,0.506550491,1.30E-06,9.693447113,0.03448141
3,12.55555248,10.64717007,1.988396406,-0.601809919,-0.000676421,0.506480396,2.72E-06,9.766759157,0.031130213
3,12.55328369,10.64849663,1.988561988,-0.601833701,-0.000627541,0.506425381,8.67E-06,9.867944956,0.024341594
3,12.55106068,10.64982128,1.988721728,-0.601856172,-0.000592609,0.506385505,7.75E-06,9.967613935,0.017560348
3,12.54861832,10.65121555,1.988816261,-0.601870835,-0.00055007,0.506338537,3.58E-05,10.04367518,0.020615546
3,12.54616165,10.65269661,1.988913536,-0.601885736,-0.000509801,0.506294191,1.03E-05,10.11625791,0.019382345
3,12.54376793,10.6541729,1.989016891,-0.601900697,-0.000491008,0.506272852,1.58E-05,10.19346309,0.009268611
