Epoc,Iter,M2,D2,V2,Pmech2,Loss
0,0,6.470395088,5.257861137,0.501361907,0.73946017,0.000740819
0,1,6.970395088,5.757858276,1.001361847,0.239461184,0.9698084
0,2,7.32440567,6.114211082,1.354369879,-0.112141728,0.000731951
0,3,7.664541721,6.43890667,1.560968637,-0.277402222,0.335348576
0,4,8.019175529,6.768574715,1.601194859,-0.21519506,0.682817817
1,5,8.100193024,6.822693348,1.47074461,-0.036677763,0.522834837
1,6,8.211806297,6.899170399,1.272382975,0.217423961,0.218234628
1,7,8.322582245,6.974838257,1.073053479,0.460566103,0.011788793
1,8,8.435945511,7.01834631,0.950748444,0.639163733,0.08169096
1,9,8.577244759,7.085764885,0.915056944,0.73198235,0.237165302
2,10,8.622789383,7.121610165,1.043745637,0.627636254,0.392976761
2,11,8.692980766,7.178236961,1.231188178,0.460961491,0.189348027
2,12,8.767317772,7.237914085,1.429485083,0.278196752,0.035392657
2,13,8.843827248,7.298270702,1.603833437,0.113911644,0.005265932
2,14,8.932468414,7.352068424,1.737300754,-0.007678054,0.090339527
3,15,8.957484245,7.371671677,1.690458536,0.050090976,0.209840626
3,16,8.995922089,7.4553895,1.608472943,0.153917849,0.144232377
3,17,9.039998055,7.535180569,1.50638926,0.284218431,0.060502868
3,18,9.084959984,7.615013599,1.397484779,0.419990033,0.00717695
3,19,9.133443832,7.693337917,1.291769147,0.544594705,0.004459344
4,20,9.14125061,7.69910574,1.320225716,0.515839219,0.064335816
4,21,9.154612541,7.708570004,1.372930765,0.462754726,0.046461325
4,22,9.170516968,7.720011234,1.441100121,0.393854946,0.020686502
4,23,9.187587738,7.738452911,1.510409355,0.321256399,0.001400363
4,24,9.201356888,7.764948845,1.580880284,0.254368424,0.002431559
5,25,9.2035923,7.766570568,1.567432404,0.268979877,0.017701529
5,26,9.205135345,7.768698215,1.547120094,0.295799971,0.012142985
5,27,9.207316399,7.771084309,1.5189749,0.331559747,0.006526926
5,28,9.209289551,7.774162769,1.487818956,0.371348917,0.001384086
5,29,9.21152401,7.775617123,1.457690239,0.409804732,0.000281547
6,30,9.212175369,7.775954723,1.464267731,0.40275538,0.004129904
6,31,9.213988304,7.787531853,1.472771287,0.390821427,0.001902878
6,32,9.215989113,7.799264908,1.485805273,0.374334931,0.001782972
6,33,9.217518806,7.81526947,1.50216651,0.3553316,0.000772363
6,34,9.219045639,7.831420422,1.518140316,0.336913288,0.000204067
7,35,9.219150543,7.831505299,1.515158772,0.340257674,0.001021007
7,36,9.219397545,7.831865788,1.509525895,0.346452087,0.000795258
7,37,9.219676971,7.832248211,1.50218606,0.354638517,0.000460785
7,38,9.219758987,7.832329273,1.494240761,0.363994986,0.000162296
7,39,9.219854355,7.832287788,1.487024188,0.372746885,0.000214944
8,40,9.220272064,7.8310709,1.487240076,0.371801317,8.23E-05
8,41,9.220733643,7.829706669,1.489370704,0.369002014,0.000436886
8,42,9.221209526,7.828326225,1.493074179,0.364734322,0.000345051
8,43,9.221692085,7.826941967,1.49772203,0.359646767,0.000234589
8,44,9.222167015,7.825524807,1.50238502,0.354695141,0.000138248
9,45,9.222180367,7.82552433,1.50183785,0.355440229,0.000227152
9,46,9.222198486,7.825528622,1.500833988,0.356845111,0.000211471
9,47,9.22221756,7.825545311,1.499567747,0.358706564,0.000195265
9,48,9.222219467,7.825581551,1.498185039,0.360869169,0.000150188
9,49,9.222221375,7.825617313,1.497116566,0.362883836,0.000187561
10,50,9.222172737,7.825688362,1.498034,0.362253457,0.000271342
10,51,9.222135544,7.825770378,1.499261379,0.361414254,0.000147809
10,52,9.222103119,7.825834751,1.500702024,0.360487789,0.000147001
10,53,9.2215271,7.826283932,1.502209306,0.360602975,7.01E-05
10,54,9.220948219,7.82673502,1.503883839,0.360730052,0.000179649
11,55,9.220905304,7.826715946,1.504525661,0.360454619,0.000314187
11,56,9.220860481,7.826697826,1.505211711,0.360310346,0.000169182
11,57,9.220708847,7.825033665,1.505641937,0.360881865,9.47E-05
11,58,9.220556259,7.82336092,1.50616765,0.361540586,0.000177653
11,59,9.220402718,7.821679592,1.506849408,0.36222133,0.00017431
12,60,9.220299721,7.821529388,1.506706715,0.362646639,5.34E-05
12,61,9.220194817,7.821368217,1.50690639,0.362914264,0.000190425
12,62,9.220090866,7.821204662,1.507403731,0.363044769,0.000170854
12,63,9.219986916,7.82104063,1.508231759,0.36301592,0.000178401
12,64,9.218392372,7.822629929,1.514713764,0.361330301,0.001423468
13,65,9.217375755,7.823895454,1.51549089,0.362570077,0.00013459
13,66,9.216361046,7.825107574,1.516290903,0.363991112,0.000187004
13,67,9.215340614,7.826325417,1.517276764,0.36541748,0.000172808
13,68,9.213876724,7.828382015,1.520518064,0.366131425,0.000771399
13,69,9.212399483,7.830365658,1.523873448,0.366895825,0.000115615
14,70,9.212399483,7.830366611,1.524197698,0.366739839,0.000166437
14,71,9.212284088,7.830310345,1.525583744,0.366240859,0.00047292
14,72,9.21216774,7.830254078,1.527172923,0.365730077,0.000171837
14,73,9.212050438,7.830184937,1.528817534,0.365353435,0.000160581
14,74,9.211932182,7.830109119,1.530417442,0.3652201,0.000161605
15,75,9.211929321,7.830105782,1.530293703,0.365541339,0.000159797
15,76,9.211929321,7.830097675,1.530097246,0.366133422,0.000168436
15,77,9.211931229,7.830091476,1.529922724,0.366900682,0.000168427
15,78,9.211927414,7.830094337,1.52981627,0.36768654,6.53E-05
15,79,9.211923599,7.830097198,1.529958844,0.368406802,0.000161848
16,80,9.211923599,7.830098152,1.530306816,0.368232876,0.000162461
16,81,9.211925507,7.830098152,1.53096056,0.367922723,0.000156213
16,82,9.211927414,7.830098152,1.531865716,0.367545992,0.000161444
16,83,9.211951256,7.829944134,1.53292501,0.36706692,7.17E-05
16,84,9.211958885,7.829831123,1.534026504,0.366642475,5.44E-05
17,85,9.211964607,7.829905033,1.534016848,0.366868079,0.000187465
17,86,9.211865425,7.829898357,1.534188032,0.367220193,7.51E-05
17,87,9.211765289,7.829891682,1.534392476,0.367738396,0.000156508
17,88,9.211667061,7.829884052,1.534710765,0.368356377,0.000174292
17,89,9.211568832,7.829875946,1.535217524,0.368989348,0.000164222
18,90,9.211568832,7.829875946,1.535481334,0.368913382,0.000158178
18,91,9.211568832,7.829875946,1.535992026,0.368783057,0.000159069
18,92,9.211568832,7.829875469,1.536720634,0.368638724,0.000164421
18,93,9.211568832,7.829874992,1.537610531,0.368530989,0.000155576
18,94,9.211567879,7.829874516,1.538613319,0.368506581,0.00014889
19,95,9.21157074,7.829874039,1.538681984,0.368651122,0.000168292
19,96,9.211595535,7.829879284,1.538843513,0.368974537,0.000241623
19,97,9.211621284,7.829879761,1.539134264,0.369373083,0.000156362
19,98,9.211647034,7.829883099,1.539638877,0.369788945,0.000177837
19,99,9.211672783,7.829887867,1.540378809,0.370181024,0.000161848
20,100,9.211672783,7.829887867,1.54064846,0.37010777,0.000155131
20,101,9.211671829,7.829888344,1.541170597,0.369997442,0.000165571
20,102,9.211670876,7.829888821,1.541906953,0.369873106,0.000151998
20,103,9.211670876,7.829892635,1.542815566,0.369799852,0.000166515
20,104,9.211671829,7.829898357,1.543846488,0.369822562,0.00015879
